claim_id,claimant,confidence
ucfl-fixture002,CASCADE DEMO STEEL SUPPLY CO,NO_MATCH
ucfl-fixture004,PINNACLE DEMO EQUIPMENT LEASING CORP,NO_MATCH
ucfl-fixture005,BLUE RIDGE FIXTURE WHOLESALE INC,NO_MATCH
ucfl-fixture006,LAKESIDE DEMO DISTRIBUTING COMPANY,NO_MATCH
ucfl-fixture007,IRONWORKS FIXTURE MANUFACTURING LLC,NO_MATCH
ucfl-fixture009,REDSTONE FIXTURE FINANCE CORP,NO_MATCH
ucfl-fixture010,GATEWAY DEMO ACCEPTANCE CORP,NO_MATCH
ucfl-fixture012,CROSSTOWN DEMO MORTGAGE LLC,NO_MATCH
ucfl-fixture013,TIMBERLINE FIXTURE LUMBER CO,NO_MATCH
ucfl-fixture014,KEYSTONE DEMO FREIGHT PARTNERS LP,NO_MATCH
ucfl-fixture015,RIVERBEND FIXTURE LOGISTICS INC,NO_MATCH
ucfl-fixture017,APEX FIXTURE BENEFIT ADMINISTRATORS INC,NO_MATCH
ucfl-fixture019,PRAIRIE FIXTURE PROPERTIES LTD,NO_MATCH
ucfl-fixture020,HARVEST DEMO REALTY HOLDINGS LLC,NO_MATCH
ucfl-fixture021,FOUNDRY FIXTURE VENTURES INC,NO_MATCH
ucfl-fixture022,BEACON DEMO ENTERPRISES CORP,NO_MATCH
ucfl-fixture024,WHARF DEMO TRADING COMPANY,NO_MATCH
ucfl-fixture025,ORCHARD FIXTURE FUND LP,REVIEW
ucfl-fixture026,MILLRACE DEMO GROUP INC,NO_MATCH
