asset_id,source_name,source_url,listing_url,listing_status,sale_method,auction_deadline,property_name,property_type,address,city,state,county,lat,lon,acreage,building_size,minimum_bid,current_bid,description,photos_url,terms_url,raw_text,raw_file_path,fetched_at
gsa-fixture001,GSA Real Property Disposition / RealEstateSales.gov [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/gsa/1,live (demo),online auction,2026-08-15,DEMO Former Federal Records Depot,warehouse,100 Fixture Way,Toledo,OH,Toledo County (demo),,,6.2,,425000,,"Vacant 84,000 sf warehouse near rail spur. Sold as-is.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
gsa-fixture002,GSA Real Property Disposition / RealEstateSales.gov [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/gsa/2,live (demo),online auction,2026-08-15,DEMO Decommissioned Coast Facility Parcel,land,200 Fixture Way,Port Arthur,TX,Port Arthur County (demo),,,14.8,,310000,,Waterfront-adjacent industrial land.,,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
gsa-fixture003,GSA Real Property Disposition / RealEstateSales.gov [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/gsa/3,live (demo),online auction,2026-08-15,DEMO Surplus Office Annex,office,300 Fixture Way,Scranton,PA,Scranton County (demo),,,1.1,,780000,,"Three-story 1962 office annex, downtown.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
gsa-fixture004,GSA Real Property Disposition / RealEstateSales.gov [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/gsa/4,live (demo),online auction,2026-08-15,DEMO Former Radar Station Tract,land,400 Fixture Way,Minot,ND,Minot County (demo),,,40.0,,95000,,"Remote tract, gravel road access.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
gsa-fixture005,GSA Real Property Disposition / RealEstateSales.gov [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/gsa/5,live (demo),online auction,2026-08-15,DEMO Vacant Federal Garage,industrial,500 Fixture Way,Fresno,CA,Fresno County (demo),,,2.4,,560000,,Fleet garage with fuel infrastructure (decommissioned).,,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
gsa-fixture006,GSA Real Property Disposition / RealEstateSales.gov [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/gsa/6,live (demo),online auction,2026-08-15,DEMO Surplus Training Campus Parcel B,land,600 Fixture Way,Macon,GA,Macon County (demo),,,22.5,,205000,,"Cleared campus parcel, utilities at street.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
gsa-fixture007,GSA Real Property Disposition / RealEstateSales.gov [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/gsa/7,live (demo),online auction,2026-08-15,DEMO Former Armory Building,special,700 Fixture Way,Davenport,IA,Davenport County (demo),,,0.9,,150000,,"Brick armory, 1938, listed-eligible.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
gsa-fixture008,GSA Real Property Disposition / RealEstateSales.gov [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/gsa/8,live (demo),negotiated sale,2026-08-15,DEMO Excess Lab Outbuilding Site,industrial,800 Fixture Way,Richland,WA,Richland County (demo),,,5.5,,0,,Negotiated sale candidate; outbuildings only.,,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
gsa-fixture009,GSA Real Property Disposition / RealEstateSales.gov [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/gsa/9,live (demo),online auction,2026-08-15,DEMO Surplus Parking Structure,parking,900 Fixture Way,Birmingham,AL,Birmingham County (demo),,,0.7,,340000,,450-stall structure adjacent to courthouse.,,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
teoaf-fixture001,Treasury (TEOAF) Seized Real Property Auctions [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/teoaf/1,live (demo),online auction,2026-08-15,DEMO Seized Commercial Strip Unit,commercial,100 Fixture Way,Hialeah,FL,Hialeah County (demo),,,0.4,,295000,,"1,900 sf retail condo unit. No buyer's premium; 45-day close.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
